commodity, market, arrival, minprice, maxprice, modalprice, day, month, year
Bajra(Pearl Millet),Ahmednagar,3.4,1301,1800,1550,1,1,2014
Bajra(Pearl Millet),Aurangabad,4.7,1250,1650,1450,1,1,2014
Bajra(Pearl Millet),Chalisgaon,13.5,1250,1500,1375,1,1,2014
Bajra(Pearl Millet),Dondaicha,2.8,1299,1426,1426,1,1,2014
Bajra(Pearl Millet),Kolhapur(Laxmipuri),5,1650,1750,1700,1,1,2014
Bajra(Pearl Millet),Kopargaon,0.7,1255,1400,1300,1,1,2014
Bajra(Pearl Millet),Pathardi,11.9,1260,1450,1350,1,1,2014
Bajra(Pearl Millet),Pune,41,1600,2500,2050,1,1,2014
Bajra(Pearl Millet),Rahata,2,1500,1525,1500,1,1,2014
Bajra(Pearl Millet),Sangamner,11,1336,1642,1489,1,1,2014
Bajra(Pearl Millet),Sangli,61.2,1300,1550,1425,1,1,2014
Jowar(Sorgham),Ahmednagar,5.1,1550,1800,1675,1,1,2014
Jowar(Sorgham),Aurangabad,1.3,1550,1750,1650,1,1,2014
Jowar(Sorgham),Jalgaon,0.4,1600,1600,1600,1,1,2014
Jowar(Sorgham),Karmala,6.5,1575,2401,1900,1,1,2014
Jowar(Sorgham),Kolhapur(Laxmipuri),45,1620,2950,2450,1,1,2014
Jowar(Sorgham),Kurdwadi,0.9,1675,2000,1900,1,1,2014
Jowar(Sorgham),Rahata,0.5,1571,1571,1571,1,1,2014
Jowar(Sorgham),Sangli,30.7,1600,2600,2100,1,1,2014
Maize,Jamner,17.5,1310,1310,1310,1,1,2014
Maize,Jamner(Neri),5.4,1310,1310,1310,1,1,2014
Maize,Kolhapur(Laxmipuri),4.5,1450,1450,1450,1,1,2014
Maize,Shahada,0.1,1499,1499,1499,1,1,2014
Maize,Tasgaon,8.1,1310,1310,1310,1,1,2014
Paddy(Dhan),Chimur,64,1800,2000,1900,1,1,2014
Paddy(Dhan),Kolhapur(Laxmipuri),560,1500,1750,1650,1,1,2014
Paddy(Dhan),Shahapur,0.3,1700,1900,1830,1,1,2014
Rice,Islampur,5,2250,2300,2275,1,1,2014
Rice,Kolhapur(Laxmipuri),65,2000,5800,3900,1,1,2014
Rice,Mangaon,0.4,1800,3500,2500,1,1,2014
Wheat,Ahmednagar,0.2,1675,1675,1675,1,1,2014
Wheat,Akola,1.8,1500,1600,1550,1,1,2014
Wheat,Amalner,0.3,1725,2000,1862,1,1,2014
Wheat,Aurangabad,0.4,1700,2000,1850,1,1,2014
Wheat,Chalisgaon,4.5,1300,1800,1550,1,1,2014
Wheat,Dhule,2.5,1500,2101,2000,1,1,2014
Wheat,Dondaicha,9.8,1550,2115,1852,1,1,2014
Wheat,Gangakhed,7.5,1300,1500,1450,1,1,2014
Wheat,Jalgaon(Jamod),0.1,1500,1500,1500,1,1,2014
Wheat,Karanja,1,1625,1830,1790,1,1,2014
Wheat,Katol,2,1758,1758,1758,1,1,2014
Wheat,Khamgaon,3.6,1750,1850,1800,1,1,2014
Wheat,Kolhapur(Laxmipuri),60,2500,2725,2600,1,1,2014
Wheat,Kopargaon,9,1550,1900,1760,1,1,2014
Wheat,Lasur Station,1.3,1700,2085,2085,1,1,2014
Wheat,Mangrulpeer,10.4,1400,1880,1700,1,1,2014
Wheat,Morshi,7.7,1653,1700,1677,1,1,2014
Wheat,Mumbai,419.9,2000,3000,2500,1,1,2014
Wheat,Pathardi,6.3,1700,1900,1800,1,1,2014
Wheat,Pune,156.6,2000,2400,2200,1,1,2014
Wheat,,,2100,2200,2150,1,1,2014
Wheat,,,2100,2600,2350,1,1,2014
Wheat,Rahata,3.8,1599,1886,1600,1,1,2014
Wheat,Rahuri(Vambori),2.1,1475,2056,1765,1,1,2014
Wheat,Raver,1.8,1571,1960,1671,1,1,2014
Wheat,Sangamner,9.2,1500,2200,1850,1,1,2014
Wheat,Sangli,72.5,1600,2700,2150,1,1,2014
Wheat,Shahada,1,2076,2151,2100,1,1,2014
Wheat,Shevgaon,3.5,1700,2200,2200,1,1,2014
Wheat,Shirpur,3.1,1500,1800,1741,1,1,2014
Wheat,Tumsar,0.5,1525,1600,1560,1,1,2014
Wheat,Wardha,0.2,1525,1610,1580,1,1,2014
Arecanut(Betelnut/Supari),Mumbai,4.4,18000,23000,20090,1,1,2014
Cashewnuts,Mumbai,5.9,50000,60000,53900,1,1,2014
Cotton,Aheri,20,4200,4500,4300,1,1,2014
Cotton,Arvi,232.7,4850,4925,4900,1,1,2014
Cotton,Babhulgaon,6,4550,4800,4725,1,1,2014
Cotton,Deoulgaon Raja,500,4500,4800,4700,1,1,2014
Cotton,Dhamngaon-Railway,30,4700,4850,4750,1,1,2014
Cotton,Gevrai,602,4300,4650,4400,1,1,2014
Cotton,Jamner,130,4000,4800,4600,1,1,2014
Cotton,Jamner(Neri),40,4000,4800,4600,1,1,2014
Cotton,Jawala-Bajar,32.4,4600,4700,4650,1,1,2014
Cotton,Jintur,107.3,4625,4750,4685,1,1,2014
Cotton,Kalmeshwar,91.7,4750,4900,4850,1,1,2014
Cotton,Katol,19,4800,5000,4900,1,1,2014
Cotton,Khamgaon,123.8,4650,4850,4750,1,1,2014
Cotton,Kille Dharur,237.9,4608,4650,4625,1,1,2014
Cotton,Kinwat,4.6,4450,4650,4550,1,1,2014
Cotton,Korpana,12.7,4500,4650,4600,1,1,2014
Cotton,Mahur,7,4200,4600,4400,1,1,2014
Cotton,Pandhakawada,234.2,4400,4850,4785,1,1,2014
Cotton,Parbhani,360,4765,4850,4820,1,1,2014
Cotton,Partur,234.6,4550,4700,4650,1,1,2014
Cotton,Pulgaon,155.8,4800,5001,4915,1,1,2014
Cotton,Rajura,52,4650,4850,4809,1,1,2014
Cotton,Samudrapur,85.8,4800,4970,4885,1,1,2014
Cotton,Savner,32,4800,4900,4850,1,1,2014
Cotton,Selu,550,4591,4850,4770,1,1,2014
Cotton,Shevgaon,678.4,4550,4770,4630,1,1,2014
Cotton,Sindi,2.4,4800,4900,4850,1,1,2014
Cotton,Sonpeth,16.5,4500,4600,4580,1,1,2014
Cotton,Vani,270,4550,4800,4675,1,1,2014
Cotton,Varora,76,4750,4900,4825,1,1,2014
Cotton,Wardha,50,4975,5000,4990,1,1,2014
Jute,Islampur,4,2700,2800,2750,1,1,2014
Tamarind Fruit,Mumbai,18.7,4500,6500,5390,1,1,2014
Tamarind Fruit,Pune,1.7,3000,4000,3500,1,1,2014
Apple,Karad,4.5,600,800,700,1,1,2014
Apple,Mumbai,447.9,800,3000,1900,1,1,2014
Apple,Nagpur,6,3000,5100,4050,1,1,2014
Banana,Jalgaon,0.7,550,550,550,1,1,2014
Banana,Karad,3,1000,1500,1250,1,1,2014
Banana,Nagpur,7.4,450,550,500,1,1,2014
