apmcName;latitute;longitude
Ambad (Vadigodri);19.7514798;75.7138884;
Ambejaogai;18.73;76.38;
Aurangabad;19.8761653;75.3433139;
Chalisgaon;20.47;75.02;
Deoulgaon Raja;20.0185658;76.0339052;
Dhule;20.9042201;74.7748979;
Jalana;19.8296893;75.8800305;
Kada(Ashti);18.8961089;75.0815557;
Kalamb(Osmanabad);18.574167;76.021667;
Kalyan;19.2403305;73.1305395;
Kille Dharur;Kolhapur(Laxmipuri);16.6983718;74.2289376;
Latur;18.4;76.56;
Majalgaon;19.1646654;76.2044549;
Parali Vaijyanath;18.8453169;76.5198462;
Pune;18.5204303;73.8567437;
Rahuri;19.392678;74.6488264;
Shrirampur;19.619548;74.660339;
Ulhasnagar;19.2215115;73.1644628;
Ausa;18.25;76.5;
Barshi;18.2333856;75.6941478;
Bhokar;Bhusaval;21.05;75.77;
Hadgaon;19.5;77.67;
Hinganghat;20.5505728;78.8411405;
Hingoli;19.7173703;77.1493722;
Jamner;20.8095714;75.7787358;
Jamner(Neri);19.7514798;75.7138884;
Jintur;19.6086799;76.6845832;
Jintur(Bori);19.5074746;76.7238404;
Kurdwadi;18.2716477;76.4707684;
Loha;Mangal Wedha;17.51667;75.46667;
Motala;20.6800584;76.21025;
Pandharpur;Partur;19.5857562;76.213349;
Rahata;19.716667;74.483333;
Raver;21.25;76.03;
Selu;Shevgaon;19.350367;75.219372;
Solapur;Jalgaon;Sangli(Miraj);16.8165015;74.6424728;
Amgaon;Armori;20.4663454;79.9831032;
Armori(Desaiganj);Brahmpuri;19.1442293;77.3308272;
Chamorshi;Gandchiroli;20.184871;79.9947956;
Ghoti;Gondpimpri;21.0707969;79.5924745;
Mangaon;18.2382428;73.281696;
Mul;20.0651702;79.675246;
Pavani;21.3877346;78.3194985;
Pen;18.734888;73.0966019;
Roha;18.4389511;73.1167514;
Tiroda;21.4068321;79.9309055;
Tumsar;21.3808404;79.7455956;
Achalpur;21.257584;77.5086754;
Alibagh;18.6553938;72.8670819;
Bhandara;21.17;79.65;
Bhivandi;19.2812547;73.0482912;
Palghar;19.6935581;72.7655184;
Ashti;Ashti(Karanja);19.7514798;75.7138884;
Chandur Railway;20.8141639;77.9767202;
Jawala-Bajar;20.7536065;76.3260992;
Kalmeshwar;21.232102;78.91796;
Katol;21.27;78.58;
Parbhani;19.2609958;76.776665;
Savner;21.385811;78.920138;
Sengoan;Wardha;20.745319;78.6021946;
Akhadabalapur;19.4746347;77.4960078;
Anajngaon;Arvi;Basmat;19.3301963;77.1589479;
Jamkhed;18.7380109;75.312064;
Kinwat;19.63;78.2;
Manwat;19.3;76.5;
Narkhed;Pandhakawada;20.0229705;78.5490494;
Pulgaon;20.726;78.317;
Rajura;19.78;79.37;
Samudrapur;20.6384618;78.9613486;
Telhara;Vadvani;18.9901224;76.0413667;
Kolhapur;16.6913076;74.2448662;
Nagpur;21.1458004;79.0881546;
Fruit Market;Nagpur(Mahatma Phule Market);21.1522494;79.0983787;
Nasik;19.9974533;73.7898023;
Sangola;17.4340512;75.1953934;
Chandrapur;19.95;79.3;
Kalamb;Umarked(Danki);19.5660072;77.8360242;
Umarkhed;19.5975885;77.6916128;
Gadhinglaj;16.226445;74.3499691;
Ghatanji;20.1436894;78.311672;
Nagpur(Hingna);Pune(Khadiki);Pune(Pimpri);Satara;Mumbai;19.0759837;72.8776559;
Chandvad;20.329167;74.244444;
Kolhapur(Malkapur);16.920421;73.9315733;
Maanachar;19.002237;73.9506774;
Morshi;21.3392;78.0131;
Khed;Lonand;Newasa(Ghodegaon);19.5679175;74.9280051;
Pathardi;19.17;75.18;
Vashi New Mumbai;19.0770644;72.9989925;
Ahmedpur;18.7061945;76.938379;
Beed;Chopada;21.2472081;75.3031435;
Dondaicha;21.3245073;74.5563859;
Kopargaon;19.8916791;74.4790898;
Malegaon;Manmad;20.2511789;74.4366016;
Murim;19.7514798;75.7138884;
Parola;Pathari;Sangli;Umarga;17.8397675;76.6222433;
Akot;21.0973361;77.053568;
Amarawati;20.930385;77.75875;
Jalgaon Jamod(Aasalgaon);19.7514798;75.7138884;
Karmala;18.4044833;75.1953934;
Koregaon;17.6966354;74.1607179;
Nilanga;18.116111;76.7525;
Shegaon;20.7927132;76.6943283;
Shirpur;21.3495981;74.8797127;
Udgir;18.3942882;77.1126009;
Udgir(Devanibud);19.7514798;75.7138884;
Akluj;17.882445;75.0205283;
Bhokardan(Pimpalgaon Renu);19.7514798;75.7138884;
Lasalgaon;20.15;74.24;
Murud;Dhamngaon-Railway;19.7514798;75.7138884;
Sonpeth;Varora;20.23;79;
Osmanabad;18.1860659;76.0419409;
Lakhani;Baramati;18.15;74.58;
Bhadrawati;20.1003298;79.1145675;
Mandhal;Palthan;19.4776906;75.3849382;
Pimpalgaon Baswant(Saykheda);19.7514798;75.7138884;
Devala;19.5775185;77.053568;
Kada;18.8961089;75.0815557;
Lasur Station;19.9267616;75.0107765;
Nandgaon;Satana;Shahada;21.5455841;74.4683333;
Sinner;19.85;74;
Indapur(Nimgaon Ketki);Jalgaon(Jamod);21.0474594;76.5314817;
Newasa;19.5511772;74.9281063;
Aheri;19.4133545;80.0059101;
Kamthi;21.2275312;79.1900834;
Tasgaon;17.03;74.6;
Karad;17.2759841;74.2003231;
Aarni;Basmat(Kurunda);19.3277529;77.1622213;
Chandur Bazar;21.2417;77.7456;
Risod;19.97;76.78;
